"No.","Time","Source","Destination","Protocol","Length","Info"
"1","11:50:27.766115","fe80::ca:d62e:dfe2:25bd","ff02::fb","MDNS","241","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Gisselleâ\200\231s MacBook Pro._companion-link._tcp.local"
"2","11:50:27.766115","fe80::c8f:d6b6:e71d:7cb0","ff02::fb","MDNS","240","Standard query response 0x0000 TXT, cache flush NSEC, cache flush Jeovanyâ\200\231s MacBook Air._companion-link._tcp.local"
"3","11:50:27.766115","fe80::1cb1:d806:4e69:5b5a","ff02::fb","MDNS","1417","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question TXT Sophiaâ\200\231s MacBook Pro._companion-link._tcp.local, ""QU"" question TXT Deundreâ\200\231s MacBook Air._companion-link._tcp.local, ""QU"" question TXT Nicoleâ\200\231s MacBook Pro (2)._companion-link._tcp.local, ""QU"" question TXT Erikaâ\200\231s MacBook Air._companion-link._tcp.local, ""QU"" question PTR Ioanna's iPad._companion-link._tcp.local PTR Sophiaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Alexâ\200\231s MacBook Air._companion-link._tcp.local PTR Deundreâ\200\231s MacBook Air._companion-link._tcp.local PTR Nicoleâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Erikaâ\200\231s MacBook Air._companion-link._tcp.local PTR Allexeâ\200\231s MacBook Air._companion-link._tcp.local PTR Amyâ\200\231s MacBook Pro._companion-link._tcp.local PTR M.G. Tv._companion-link._tcp.local PTR Lanceâ\200\231s iPad._companion-link._tcp.local PTR Bedroom (2)._companion-link._tcp.local PTR Veronicaâ\200\231s MacBook Air._companion-link._tcp.local PTR Peterâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Anniqueâ\200\231s MacBook Air._companion-link._tcp.local PTR Meganâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Naomiâ\200\231s MacBook._companion-link._tcp.local PTR YRJDaLoneWolf._companion-link._tcp.local PTR The squads Apple TV._companion-link._tcp.local PTR Albertâ\200\231s iMac._companion-link._tcp.local PTR Kaylaâ\200\231s MacBook (1569)._companion-link._tcp.local PTR Hayleyâ\200\231s MacBook Air._companion-link._tcp.local PTR Dylanâ\200\231s MacBook Air._companion-link._tcp.local PTR Jeovanyâ\200\231s MacBook Air._companion-link._tcp.local PTR gabbyâ\200\231s MacBook Air._companion-link._tcp.local PTR emmaâ\200\231s MacBook Pro._companion-link._tcp.local PTR Mylesâ\200\231 MacBook Pro._companion-link._tcp.local PTR Austinâ\200\231s MacBook Pro (2)._companion-link._tcp.local PTR Reis Ehmanâ\200\231s iPad._companion-link._tcp.local PTR D655C080-4398-545C-B468-6A982C6BCBB9._homekit._tcp.local PTR 47D154E7-8D63-5144-A7CF-2E54D89CFCDB._homekit._tcp.local PTR 7F31A117-B151-577E-90F1-1DC82C2790A0._homekit._tcp.local PTR 69DA8E26-28E3-5843-9F7D-CA1F2C29CAB9._homekit._tcp.local PTR 70-35-60-63.1 Bedroom (2)._sleep-proxy._udp.local OPT"
"4","11:50:27.766115","fe80::1cb1:d806:4e69:5b5a","ff02::fb","MDNS","544","Standard query 0x0000 TXT Allexeâ\200\231s MacBook Air._companion-link._tcp.local, ""QU"" question TXT Amyâ\200\231s MacBook Pro._companion-link._tcp.local, ""QU"" question TXT M.G. Tv._companion-link._tcp.local, ""QU"" question TXT Lanceâ\200\231s iPad._companion-link._tcp.local, ""QU"" question TXT Bedroom (2)._companion-link._tcp.local, ""QU"" question TXT Jeovanyâ\200\231s MacBook Air._companion-link._tcp.local, ""QU"" question TXT Peterâ\200\231s MacBook Pro (2)._companion-link._tcp.local, ""QU"" question TXT Meganâ\200\231s MacBook Pro (2)._companion-link._tcp.local, ""QU"" question TXT Naomiâ\200\231s MacBook._companion-link._tcp.local, ""QU"" question TXT YRJDaLoneWolf._companion-link._tcp.local, ""QU"" question TXT Kaylaâ\200\231s MacBook (1569)._companion-link._tcp.local, ""QU"" question TXT D655C080-4398-545C-B468-6A982C6BCBB9._homekit._tcp.local, ""QU"" question TXT 47D154E7-8D63-5144-A7CF-2E54D89CFCDB._homekit._tcp.local, ""QU"" question TXT 7F31A117-B151-577E-90F1-1DC82C2790A0._homekit._tcp.local, ""QU"" question OPT"
"5","11:50:27.766115","fe80::c8c:63:36b1:1ec1","ff02::fb","MDNS","371","Standard query response 0x0000 TXT, cache flush TXT, cache flush NSEC, cache flush The squads Apple TV._companion-link._tcp.local NSEC, cache flush 69DA8E26-28E3-5843-9F7D-CA1F2C29CAB9._homekit._tcp.local"
"6","11:50:27.789817","fe80::18a9:d538:b72c:4763","ff02::1:ff69:5b5a","ICMPv6","86","Neighbor Solicitation for fe80::1cb1:d806:4e69:5b5a from 58:55:ca:60:ff:85"
"7","11:50:27.791124","fe80::142f:c604:9776:f636","ff02::fb","MDNS","238","Standard query response 0x0000 TXT PTR Selinâ\200\231s TV._companion-link._tcp.local PTR D652C4B3-E44D-58D6-82D7-BC61B1CE285D._homekit._tcp.local"
"8","11:50:27.799108","162.159.136.234","10.181.26.48","TLSv1.2","264","Application Data"
"9","11:50:27.801964","fe80::14e0:8cda:f637:a4f2","ff02::1:ff69:5b5a","ICMPv6","86","Neighbor Solicitation for fe80::1cb1:d806:4e69:5b5a from a0:18:28:f4:06:b1"
"10","11:50:27.805694","fe80::1085:e0e4:3820:3de4","ff02::fb","MDNS","174","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question PTR _sleep-proxy._udp.local, ""QU"" question OPT"
"11","11:50:27.838450","fe80::101a:17bd:4fa6:df1","ff02::fb","MDNS","279","Standard query response 0x0000 PTR 70-35-60-63.1 Titaaa._sleep-proxy._udp.local TXT PTR Titaaa._companion-link._tcp.local PTR C608435C-5128-532A-84A3-42BFA51FF300._homekit._tcp.local"
"12","11:50:27.840113","10.181.26.48","162.159.136.234","TCP","54","2488  >  443 [ACK] Seq=1 Ack=211 Win=2066 Len=0"
"13","11:50:27.841473","fe80::82f:3619:2cf5:d31c","ff02::fb","MDNS","143","Standard query response 0x0000 PTR 70-35-60-63.1 julianna apple tv._sleep-proxy._udp.local"
